,Informal Text,Expanded Meaning,Polarity
7885,"brb, gotta clean up dis mess",be right back need to clean up this mess,negative
7886,"fml, this is a fucking nightmare",fuck my life this is a fucking nightmare,negative
7887,"wtf, how did dis happen?",what the fuck how did this happen,negative
7888,"smh, canâ€™t believe dis crap",shaking my head can t believe this crap,negative
7889,"omfg, dis is a shitstorm",oh my fucking god this is a shitstorm,negative
7890,"fml, this is a complete fucking disaster",fuck my life this is a complete fucking disaster,negative
7891,"lmao, dis is so fucking funny",laughing my ass off this is so fucking hilarious,positive
7892,"wtf, whyâ€™d u mess it up?",what the fuck why did you mess it up,negative
7893,"brb, need to sort out dis bullshit",be right back need to handle this bullshit,negative
7894,"smh, dis is a huge fuck-up",shaking my head this is a major failure,negative
7895,"omg, this is a fucking trainwreck",oh my god this is a fucking trainwreck,negative
7896,"fml, this day is so fucking messed up",fuck my life this day is so fucking screwed up,negative
7897,"lmao, datâ€™s some crazy shit",laughing my ass off that s some insane stuff,negative
7898,"smh, this shit is ridiculous",shaking my head this stuff is absurd,negative
7899,"omfg, dis is a total shitshow",oh my fucking god this is a complete shitshow,negative
7900,"fml, iâ€™m done with this shit",fuck my life i m finished with this stuff,negative
7901,"brb, need to fix dis mess",be right back need to sort out this mess,negative
7902,"lmao, dis is so fucking ridiculous",laughing my ass off this is so fucking absurd,negative
7903,"wtf, why did u fuck this up?",what the fuck why did you mess this up,negative
7904,"smh, datâ€™s such a huge fail",shaking my head that s such a big failure,negative
7905,"omg, dis is so fucking frustrating",oh my god this is so fucking aggravating,negative
7906,"fml, this is a complete fucking mess",fuck my life this is a complete fucking mess,negative
7907,"lmao, datâ€™s some next-level shit",laughing my ass off that s some extraordinary stuff,positive
7908,"smh, this is so fucking dumb",shaking my head this is so fucking stupid,negative
7909,"omfg, dis is a fucking disaster",oh my fucking god this is a fucking catastrophe,negative
7910,"fml, this is beyond fucked up",fuck my life this is beyond fucked up,negative
7911,"brb, need to fix dis shitstorm",be right back need to handle this shitstorm,positive
7912,"wtf, why did u screw up?",what the fuck why did you mess up,negative
7913,"smh, this shit is out of control",shaking my head this stuff is out of control,negative
7914,"omg, this is a total fuck-up",oh my god this is a complete failure,negative
7915,"fml, this is so fucking shitty",fuck my life this is so fucking terrible,negative
7916,"lmao, dis is some crazy shit",laughing my ass off this is some insane stuff,negative
7917,"wtf, how did dis get fucked up?",what the fuck how did this get messed up,negative
7918,"smh, canâ€™t believe dis mess",shaking my head can t believe this mess,negative
7919,"omfg, dis is a fucking mess",oh my fucking god this is a fucking mess,negative
7920,"fml, this is beyond fucked",fuck my life this is beyond screwed up,negative
7921,"brb, gotta fix dis shitshow",be right back need to handle this shitshow,negative
7922,"wtf, whyâ€™d dis go so wrong?",what the fuck why did this go so wrong,negative
7923,"smh, dis is just absurd",shaking my head this is just ridiculous,negative
7924,"omg, dis is a total shitstorm",oh my god this is a complete shitstorm,negative
7925,"fml, this is so fucking frustrating",fuck my life this is so fucking irritating,negative
7926,"lmao, datâ€™s some crazy-ass shit",laughing my ass off that s some insane stuff,negative
7927,"wtf, why is dis so fucked up?",what the fuck why is this so messed up,negative
7928,"smh, this is a huge fuck-up",shaking my head this is a major failure,negative
7929,"fml, this is a complete disaster",fuck my life this is a total disaster,negative
7930,"lmao, datâ€™s some wild shit",laughing my ass off that s some insane stuff,negative
7931,"brb, gotta clean up dis mess",be right back need to tidy up this mess,negative
7932,"smh, dis is out of control",shaking my head this is unmanageable,negative
7933,"omg, this is so fucking frustrating",oh my god this is so fucking aggravating,negative
7934,"fml, this is a fucking mess",fuck my life this is a complete fucking mess,negative
7935,"wtf, why did dis happen?",what the fuck why did this happen,negative
7936,"smh, dis is a complete fail",shaking my head this is a total failure,negative
7937,"omfg, this is a fucking disaster",oh my fucking god this is a fucking catastrophe,negative
7938,"fml, this day is so fucked up",fuck my life this day is so messed up,negative
7939,"lmao, datâ€™s some insane shit",laughing my ass off that s some crazy stuff,negative
7940,"brb, need to handle dis shitstorm",be right back need to deal with this shitstorm,positive
7941,"wtf, whyâ€™s dis so fucked up?",what the fuck why is this so messed up,negative
7942,"smh, dis is a major fuck-up",shaking my head this is a major failure,negative
7943,"fml, this is so fucked up",fuck my life this is so messed up,negative
7944,"omfg, dis is a shitshow",oh my fucking god this is a shitstorm,negative
7945,"fml, this is a fucking disaster",fuck my life this is a fucking catastrophe,negative
7946,"wtf, why is dis so fucked?",what the fuck why is this so messed up,negative
7947,"smh, this is a huge fuck-up",shaking my head this is a big failure,negative
7948,"omg, dis is so fucked up",oh my god this is so messed up,negative
7949,"lmao, dis is some insane shit",laughing my ass off this is some crazy stuff,negative
7950,"wtf, why did dis go so wrong?",what the fuck why did this go so wrong,negative
7951,"omfg, dis is a fucking mess",oh my fucking god this is a fucking disaster,negative
7952,"fml, this is beyond fucked up",fuck my life this is beyond messed up,negative
7953,"brb, gotta sort dis shitshow",be right back need to manage this shitshow,positive
7954,"wtf, how did dis get fucked?",what the fuck how did this get messed up,negative
7955,"smh, this shit is out of control",shaking my head this stuff is unmanageable,negative
7956,"omg, this is a fucking nightmare",oh my god this is a fucking nightmare,negative
7957,"fml, this is a total fuck-up",fuck my life this is a complete failure,negative
7958,"brb, need to handle dis shit",be right back need to take care of this stuff,positive
7959,"smh, dis is a huge disaster",shaking my head this is a major catastrophe,negative
7960,"omfg, dis is so fucking absurd",oh my fucking god this is so fucking ridiculous,negative
7961,"lmao, datâ€™s some wild-ass shit",laughing my ass off that s some crazy stuff,negative
7962,"smh, dis is a major fuck-up",shaking my head this is a big failure,negative
7963,"omg, dis is a complete mess",oh my god this is a complete disaster,negative
7964,"brb, need to fix dis shitshow",be right back need to handle this shitshow,negative
7965,"smh, this shit is so fucked",shaking my head this stuff is so messed up,negative
7966,"gotta move this shit fast, cops r closing in",gotta move this stuff quickly the police are closing in,negative
7967,"this dealâ€™s going south, we need a backup plan",this deal is failing we need a backup plan,negative
7968,"fuck, the shipment got intercepted",damn the shipment was intercepted,negative
7969,we're in deep shit if we don't get rid of this,we re in serious trouble if we don t dispose of this,negative
7970,"damn, the stash got raided",damn the stash was raided,negative
7971,need to get rid of this product before it's too late,need to dispose of this product before it is too late,neutral
7972,"shit, we're being watched",damn we re being observed,positive
7973,"this is a risky move, but we gotta try",this is a dangerous move but we have to try it,neutral
7974,"can't believe they found the stash, fucked up",can t believe they found the stash screwed up,negative
7975,weâ€™re fucked if we donâ€™t get this sorted,we re in trouble if we don t get this sorted out,negative
